gamma_index,gamma_value,error
9505,9501.32018974,0.10387038703993312
9506,9501.42260775,0.045184518452515476
9507,9501.5279165,0.06010601060188492
9508,9501.78370366,0.1846384638465679
9509,9501.89706422,0.12603260326068266
9510,9502.00852989,0.1505550555066293
9511,9502.1729586,0.07818781878268055
9512,9502.18629974,0.0648664866494073
9513,9502.41309366,0.1619561956194957
9514,9502.5303088,0.18799879988000612
9515,9502.59483793,0.14755475547644892
9516,9502.78017123,0.03774377437730436
9517,9502.8714842,0.12907290729162924
9518,9503.0039025,0.14719471947319107
9519,9503.23392667,0.1278727872795571
9520,9503.3127112,0.16611661166098202
9521,9503.38357207,0.18603860386065207
9522,9503.56459524,0.1489148914897669
9523,9503.65157428,0.05698569856940594
9524,9503.84391565,0.15319531953173282
9525,9503.95101046,0.15607560756143357
9526,9504.05594952,0.14119411941283033
9527,9504.21959118,0.1846784678473341
9528,9504.36500805,0.16083608360895596
9529,9504.59385963,0.19127912791373092
9530,9504.67688349,0.1287528752873186
9531,9504.81929371,0.17791779177969147
9532,9504.96955912,0.05190519051939191
9533,9505.09635897,0.07486748674818955
9534,9505.23036281,0.00846084608383535
9535,9505.37807111,0.1392339233934763
9536,9505.45127406,0.196759675967769
9537,9505.79824071,0.1831183118320041
9538,9505.91759863,0.1887188718883408
9539,9505.95272722,0.16791679167909024
9540,9506.10401122,0.04022402240298106
9541,9506.21654348,0.07230723072279943
9542,9506.27280126,0.12855285528530658
9543,9506.48938377,0.1757975797590916
9544,9506.60174756,0.15527552755338547
9545,9506.73497127,0.08086808680855029
9546,9506.85839171,0.04254425442559295
9547,9506.98067066,0.1312731273137615
9548,9507.04020445,0.07174717471752956
9549,9507.22833285,0.11639163916515827
9550,9507.29517739,0.18323832383248373
9551,9507.5082939,0.028902890289828065
9552,9507.63798586,0.15859585958605749
9553,9507.78471384,0.15983598359889584
9554,9507.87292545,0.1312331233129953
9555,9508.0709085,0.1554755475553975
9556,9508.28715658,0.16023602360291989
9557,9508.35551289,0.08570857085760508
9558,9508.44993881,0.18015801580258994
9559,9508.53581958,0.17267726772661263
9560,9508.76828339,0.011701170116793946
9561,9508.85811663,0.07814781478191435
9562,9508.98952688,0.17687768776886514
9563,9509.09584164,0.12487248724937672
9564,9509.26651638,0.04578457845855155
9565,9509.38886001,0.16811681168110226
9566,9509.5134405,0.17959795979732007
9567,9509.67292676,0.020142014202065184
9568,9509.75208565,0.05902590259029239
9569,9509.90044178,0.09110911091192975
9570,9510.09439565,0.19255925592551648
9571,9510.16900261,0.19243924392503686
9572,9510.34412709,0.044464446444180794
9573,9510.45796307,0.15831583158433205
9574,9510.63155324,0.1433143314334302
9575,9510.78927437,0.1223122312239866
9576,9510.89559918,0.19791979197907494
9577,9511.0411783,0.17143714371559327
9578,9511.12880196,0.1968396839693014
9579,9511.23904081,0.0865886588653666
9580,9511.29981628,0.02582258225811529
9581,9511.50706335,0.15583558355865534
9582,9511.54170561,0.12119211921162787
9583,9511.7108915,0.0566656665669143
9584,9511.93134626,0.16375637563760392
9585,9512.0833067,0.10003000300093845
9586,9512.2037884,0.042424242425113334
