gamma_index,gamma_value,error
9905,9555.01849289,0.020734414687467506
9906,9555.16067279,0.04520290405889682
9907,9555.28022961,0.021274425487717963
9908,9555.38532332,0.08551971039378259
9909,9555.45136393,0.019478389567666454
9910,9555.61008128,0.0481429628598562
9911,9555.85249138,0.08099961999323568
9912,9555.99565829,0.07721154423052212
9913,9556.08212368,0.021318426368452492
9914,9556.21943005,0.07945558911160333
9915,9556.35963169,0.060747214944058214
9916,9556.48306021,0.057623152462838334
9917,9556.57879013,0.009482189643676975
9918,9556.70658949,0.08559171183514991
9919,9556.85988968,0.08740374807530316
9920,9557.09051581,0.051299025981279556
9921,9557.20054754,0.058735174703542725
9922,9557.27805158,0.05429108582211484
9923,9557.43635073,0.056795135902575566
9924,9557.55077438,0.08027960559229541
9925,9557.64340283,0.08122762455241173
9926,9557.77201092,0.002890057801778312
9927,9557.93976333,0.018622372446770896
9928,9558.0611823,0.07259545190936478
9929,9558.2438726,0.09726794535890804
9930,9558.30500899,0.03613072261396155
9931,9558.50727305,0.039974799496121705
9932,9558.57519527,0.08036360727237479
9933,9558.6939404,0.010630212604155531
9934,9558.77550183,0.040638812775796396
9935,9558.94601529,0.0493589871803124
9936,9559.02278569,0.007658153162992676
9937,9559.21212304,0.02566251324969926
9938,9559.40704804,0.0693393867877603
9939,9559.57760232,0.08122362447284104
9940,9559.61831116,0.04051481029637216
9941,9559.78421875,0.03235464709359803
9942,9560.02500462,0.09458789175732818
9943,9560.16097628,0.034202684053525445
9944,9560.28537688,0.09019980399716587
9945,9560.44543819,0.006846136922831647
9946,9560.55248835,0.008602172043538303
9947,9560.60804454,0.0791995839917945
9948,9560.76274214,0.09794795895868447
9949,9560.90232422,0.04163483269621793
9950,9561.02300324,0.02819056381122209
9951,9561.11869412,0.06750335006654495
9952,9561.35094776,0.0796475929528242
9953,9561.49582575,0.07244344886930776
9954,9561.61249499,0.019474389488095767
9955,9561.73421766,0.0717714354286727
9956,9561.84394154,0.05721114422340179
9957,9561.9902718,0.057739154783121194
9958,9562.10390398,0.05589111782319378
9959,9562.33094827,0.0015900318012427306
9960,9562.51389507,0.07446348927078361
9961,9562.55489206,0.06974739494762616
9962,9562.68662144,0.06198323966418684
9963,9562.76730459,0.00684213684326096
9964,9562.96361768,0.08084361687178898
9965,9563.07986903,0.018998379968252266
9966,9563.19345796,0.09459189183871786
9967,9563.29986311,0.08869977399626805
9968,9563.4677739,0.09447988959800568
9969,9563.63574885,0.0836916738335276
9970,9563.81976837,0.0934438688782393
9971,9563.93897148,0.02616652333017555
9972,9564.05652456,0.05537110742261575
9973,9564.19463154,0.01777835556640639
9974,9564.22904804,0.052195043901519966
9975,9564.40821094,0.010442208844324341
9976,9564.53152971,0.08450769015325932
9977,9564.59971173,0.016326326525813784
9978,9564.78748031,0.05965119302345556
9979,9564.92492977,0.05209904198090953
9980,9565.07655994,0.035766715334830224
9981,9565.13249464,0.0916998339962447
9982,9565.29917014,0.012414248285494978
9983,9565.37500993,0.03456669133447576
9984,9565.52664079,0.06510730214540672
9985,9565.69169591,0.02852257045196893
9986,9565.79499816,0.07477949558960972
9987,9565.95444979,0.00449808996199863
9988,9566.12127138,0.06230324606440263
9989,9566.14686612,0.04157083141762996
9990,9566.34312093,0.016350327006875887
9991,9566.46707261,0.052715054302098
9992,9566.61778326,0.07007140142741264
9993,9566.72248273,0.09333586671709782
9994,9566.9677653,0.043778875577118015
9995,9567.07324089,0.08502370047426666
9996,9567.20136706,0.08751975039558602
9997,9567.30863787,0.026378527571068844
9998,9567.45599171,0.06185523710519192
9999,9567.67736401,0.09081981639610603
10000,9567.82092495,0.02551451029103191
10001,9567.8998035,0.052183043660988915
10002,9568.09053418,0.05590311806190584
10003,9568.1510621,0.01707034140599717
10004,9568.33538975,0.06270325406512711
